Reading dataset
Processing images into graphs... Took 95.29705357551575s
33.5373	15.62%	9 (x20)
4.8385	18.75%	1 (x16)
8.4436	3.12%	0 (x18)
3.5425	12.50%	8 (x20)
3.1387	6.25%	8 (x18)
4.9660	12.50%	8 (x21)
3.4667	9.38%	8 (x17)
3.2655	9.38%	8 (x19)
3.1725	25.00%	8 (x19)
3.3803	6.25%	8 (x24)
2.4967	9.38%	8 (x29)
2.5618	15.62%	8 (x27)
2.6088	15.62%	8 (x27)
2.7694	9.38%	8 (x29)
2.7113	9.38%	8 (x32)
2.2998	12.50%	8 (x30)
2.7215	6.25%	8 (x30)
2.4704	3.12%	8 (x27)
2.4022	21.88%	8 (x27)
2.5873	9.38%	8 (x26)
2.5599	6.25%	8 (x13)
3.1330	9.38%	8 (x16)
2.6041	25.00%	8 (x10)
2.2833	6.25%	1 (x12)
2.5373	6.25%	1 (x10)
2.4101	12.50%	1 (x13)
2.2181	25.00%	1 (x15)
2.3366	12.50%	1 (x12)
2.3029	9.38%	2 (x13)
2.4466	21.88%	2 (x13)
2.3649	6.25%	1 (x13)
2.2486	21.88%	1 (x13)
2.2338	21.88%	1 (x12)
2.2646	25.00%	1 (x13)
2.5251	6.25%	1 (x11)
2.3171	15.62%	1 (x13)
2.1685	15.62%	1 (x14)
2.2459	21.88%	1 (x18)
2.3962	9.38%	1 (x16)
2.3514	12.50%	1 (x20)
2.3930	9.38%	1 (x16)
2.2230	18.75%	1 (x17)
2.4094	9.38%	0 (x10)
2.2800	15.62%	1 (x18)
2.3388	3.12%	1 (x13)
2.4093	15.62%	1 (x15)
2.2478	21.88%	1 (x14)
2.2232	15.62%	1 (x15)
2.2442	15.62%	1 (x16)
2.2553	18.75%	1 (x16)
2.2981	15.62%	1 (x13)
2.3213	9.38%	1 (x16)
2.3080	6.25%	1 (x22)
2.3501	12.50%	1 (x18)
2.3045	21.88%	1 (x19)
2.3279	15.62%	1 (x16)
2.2684	15.62%	1 (x13)
2.1051	28.12%	1 (x15)
2.2462	25.00%	1 (x18)
2.2895	21.88%	1 (x13)
2.3571	21.88%	7 (x12)
2.3989	6.25%	1 (x14)
2.4230	25.00%	1 (x15)
2.1335	34.38%	1 (x14)
2.2375	15.62%	1 (x14)
2.2866	15.62%	7 (x15)
2.2948	9.38%	1 (x15)
2.3077	6.25%	1 (x21)
2.2769	12.50%	1 (x13)
2.3005	25.00%	1 (x13)
2.2586	25.00%	1 (x17)
2.4741	9.38%	1 (x18)
2.3110	9.38%	1 (x15)
2.1391	21.88%	1 (x12)
2.2009	25.00%	1 (x14)
2.2784	18.75%	1 (x24)
2.1619	31.25%	1 (x15)
2.3133	9.38%	1 (x16)
2.3390	15.62%	1 (x19)
2.2552	28.12%	1 (x14)
2.1999	21.88%	1 (x17)
2.3594	0.00%	1 (x14)
2.2463	15.62%	1 (x18)
2.2523	21.88%	1 (x16)
2.5559	6.25%	1 (x17)
2.2518	15.62%	1 (x17)
2.2307	21.88%	1 (x16)
2.4138	12.50%	1 (x14)
2.2839	21.88%	1 (x21)
2.4811	6.25%	1 (x19)
2.3164	9.38%	1 (x22)
2.2644	15.62%	1 (x15)
2.2353	15.62%	1 (x15)
2.2222	21.88%	1 (x16)
2.2202	25.00%	1 (x19)
2.3688	15.62%	1 (x14)
2.3001	18.75%	1 (x12)
2.2834	12.50%	1 (x15)
2.3597	15.62%	1 (x16)
2.2874	15.62%	1 (x14)
2.3379	3.12%	1 (x17)
2.2274	15.62%	1 (x16)
2.3084	12.50%	1 (x16)
2.2239	18.75%	1 (x13)
2.2913	12.50%	1 (x12)
2.2276	18.75%	1 (x17)
2.2891	12.50%	1 (x18)
2.2449	15.62%	1 (x15)
2.2644	12.50%	1 (x14)
2.2778	9.38%	1 (x16)
2.3045	21.88%	1 (x13)
2.3354	12.50%	1 (x15)
2.2596	15.62%	1 (x13)
2.3616	15.62%	1 (x18)
2.3250	9.38%	1 (x21)
2.3393	12.50%	0 (x14)
2.3717	12.50%	1 (x16)
2.2492	9.38%	1 (x17)
2.3457	12.50%	1 (x19)
2.2744	12.50%	1 (x12)
2.3741	3.12%	1 (x12)
2.2181	21.88%	1 (x20)
2.2179	25.00%	1 (x23)
2.3640	18.75%	1 (x22)
2.3227	9.38%	1 (x14)
2.3448	21.88%	1 (x17)
2.3356	9.38%	1 (x20)
2.2942	12.50%	1 (x19)
2.3817	6.25%	1 (x18)
2.5591	18.75%	1 (x18)
2.3792	18.75%	1 (x18)
2.2568	18.75%	1 (x17)
2.3199	15.62%	1 (x20)
2.4504	9.38%	1 (x19)
2.3503	12.50%	1 (x19)
2.4141	3.12%	1 (x18)
2.2336	12.50%	1 (x18)
2.3560	9.38%	1 (x18)
2.2665	15.62%	1 (x18)
2.3128	9.38%	1 (x21)
2.3155	9.38%	1 (x16)
2.2454	9.38%	1 (x20)
2.3033	9.38%	1 (x20)
2.2355	25.00%	1 (x18)
2.2305	12.50%	1 (x10)
2.2770	15.62%	1 (x17)
2.5953	0.00%	1 (x19)
2.2539	25.00%	1 (x10)
2.3174	12.50%	1 (x20)
2.2843	6.25%	1 (x17)
2.3056	21.88%	1 (x20)
2.3327	9.38%	1 (x17)
2.2720	12.50%	1 (x20)
2.3214	15.62%	1 (x20)
2.2243	21.88%	1 (x20)
2.4095	6.25%	1 (x10)
2.2908	6.25%	1 (x17)
2.3729	6.25%	1 (x13)
2.2327	9.38%	1 (x13)
2.3326	6.25%	2 (x13)
2.2586	9.38%	1 (x10)
2.3221	9.38%	1 (x20)
2.3535	9.38%	1 (x12)
2.3530	6.25%	1 (x13)
2.5773	9.38%	1 (x15)
2.3808	6.25%	1 (x15)
2.3580	9.38%	1 (x11)
2.2822	12.50%	1 (x10)
2.4172	6.25%	1 (x15)
2.2873	9.38%	1 (x13)
2.2470	21.88%	1 (x13)
2.2926	18.75%	1 (x13)
2.3382	12.50%	1 (x13)
2.2767	9.38%	1 (x13)
2.2734	9.38%	1 (x12)
2.2822	9.38%	1 (x15)
2.2382	18.75%	1 (x17)
2.3696	9.38%	1 (x14)
2.2610	12.50%	1 (x16)
2.3698	12.50%	1 (x18)
2.2161	15.62%	1 (x13)
2.3716	12.50%	1 (x15)
2.2686	18.75%	1 (x13)
2.2502	15.62%	1 (x19)
2.3480	3.12%	1 (x14)
2.3305	21.88%	1 (x16)
2.2757	15.62%	1 (x13)
2.2671	12.50%	1 (x15)
2.3686	12.50%	1 (x18)
2.2854	15.62%	1 (x17)
2.1845	15.62%	1 (x13)
2.1789	21.88%	1 (x12)
2.4513	3.12%	1 (x16)
2.3277	12.50%	1 (x10)
2.3040	6.25%	1 (x17)
2.2736	9.38%	1 (x17)
2.3092	9.38%	1 (x16)
2.3255	9.38%	1 (x20)
2.2297	12.50%	1 (x17)
2.2135	15.62%	1 (x22)
2.3148	12.50%	1 (x14)
2.2197	21.88%	1 (x14)
2.2861	6.25%	1 (x14)
2.2959	6.25%	1 (x12)
2.2453	18.75%	1 (x16)
2.2594	21.88%	1 (x15)
2.2969	9.38%	1 (x15)
2.1981	21.88%	1 (x18)
2.2792	12.50%	1 (x13)
2.3326	18.75%	1 (x13)
2.3666	12.50%	0 (x13)
2.3537	21.88%	0 (x12)
2.2570	21.88%	1 (x14)
2.2180	28.12%	1 (x13)
2.3673	6.25%	1 (x12)
2.2923	12.50%	1 (x15)
2.3367	21.88%	1 (x11)
2.1927	21.88%	0 (x11)
2.2469	15.62%	1 (x15)
2.1862	18.75%	0 (x13)
2.3242	18.75%	1 (x14)
2.2781	21.88%	0 (x14)
2.3679	9.38%	0 (x14)
2.1990	18.75%	0 (x15)
2.1507	28.12%	0 (x16)
2.2755	21.88%	1 (x17)
2.2435	15.62%	0 (x13)
2.3325	12.50%	0 (x17)
2.3293	12.50%	1 (x16)
2.2752	18.75%	1 (x18)
2.2890	15.62%	0 (x14)
2.2698	18.75%	1 (x19)
2.2335	15.62%	1 (x19)
2.2485	12.50%	1 (x15)
2.2273	12.50%	1 (x15)
2.3388	9.38%	1 (x22)
2.3639	6.25%	1 (x22)
2.2941	15.62%	1 (x25)
2.2074	15.62%	1 (x14)
2.2888	12.50%	1 (x24)
2.3828	12.50%	1 (x11)
2.3926	3.12%	1 (x18)
2.3226	9.38%	1 (x19)
2.2981	12.50%	1 (x17)
2.3097	6.25%	1 (x16)
2.3229	18.75%	1 (x15)
2.2714	12.50%	1 (x15)
2.1999	21.88%	1 (x11)
2.4139	21.88%	1 (x15)
2.2344	15.62%	1 (x14)
2.4808	9.38%	1 (x19)
2.2674	18.75%	1 (x14)
2.3200	15.62%	1 (x14)
2.3239	12.50%	1 (x12)
2.2942	9.38%	1 (x15)
2.2480	15.62%	1 (x15)
2.2366	18.75%	1 (x15)
2.2523	28.12%	1 (x14)
2.3080	12.50%	3 (x12)
2.4021	15.62%	1 (x11)
2.6624	6.25%	1 (x15)
2.2432	15.62%	1 (x13)
2.3290	3.12%	1 (x11)
2.3000	6.25%	1 (x14)
2.3357	3.12%	1 (x14)
2.2739	9.38%	1 (x16)
2.3045	9.38%	1 (x16)
2.3008	15.62%	1 (x15)
2.3307	9.38%	1 (x14)
2.2953	9.38%	1 (x15)
2.2866	18.75%	1 (x17)
2.2152	15.62%	1 (x16)
2.2766	18.75%	1 (x13)
2.3764	18.75%	0 (x12)
2.2668	6.25%	1 (x16)
2.2091	15.62%	1 (x12)
2.3758	12.50%	1 (x18)
2.4609	9.38%	1 (x10)
2.2114	9.38%	1 (x14)
2.2260	21.88%	1 (x13)
2.2227	18.75%	1 (x16)
2.3321	25.00%	0 (x10)
2.5136	12.50%	2 (x12)
2.2514	28.12%	1 (x13)
2.3303	6.25%	1 (x13)
2.2758	18.75%	1 (x15)
2.2674	12.50%	1 (x12)
2.2985	25.00%	1 (x14)
2.2988	15.62%	1 (x17)
2.2998	9.38%	1 (x16)
2.2405	15.62%	1 (x13)
2.3159	9.38%	1 (x20)
2.3211	9.38%	1 (x13)
2.2386	12.50%	1 (x18)
2.3025	12.50%	1 (x15)
2.2477	18.75%	1 (x14)
2.2483	9.38%	1 (x12)
2.3100	15.62%	1 (x18)
2.3547	12.50%	1 (x18)
2.2776	25.00%	0 (x12)
2.2781	18.75%	1 (x14)
2.2353	28.12%	1 (x14)
2.2490	18.75%	1 (x17)
2.2432	12.50%	1 (x15)
2.3121	15.62%	1 (x17)
2.2896	18.75%	1 (x15)
2.3681	0.00%	1 (x19)
2.3102	6.25%	1 (x17)
2.3224	3.12%	1 (x19)
2.3351	12.50%	1 (x16)
2.2783	15.62%	1 (x13)
2.3198	12.50%	1 (x16)
2.1636	21.88%	1 (x15)
2.3288	15.62%	1 (x14)
2.2541	15.62%	1 (x11)
2.3542	9.38%	1 (x14)
2.3162	18.75%	1 (x11)
2.2731	12.50%	1 (x8)
2.2207	15.62%	1 (x10)
2.4463	12.50%	1 (x17)
2.2931	15.62%	1 (x13)
2.2545	12.50%	1 (x12)
2.3364	15.62%	1 (x15)
2.4171	3.12%	1 (x15)
2.2853	18.75%	1 (x15)
2.2387	18.75%	1 (x17)
2.2751	12.50%	1 (x18)
2.3223	15.62%	1 (x19)
2.2933	18.75%	1 (x19)
2.2764	6.25%	1 (x23)
2.2539	21.88%	1 (x21)
2.2995	9.38%	1 (x16)
2.2282	28.12%	1 (x20)
2.2642	15.62%	1 (x21)
2.3045	15.62%	1 (x19)
2.2577	15.62%	1 (x22)
2.3056	6.25%	1 (x16)
2.3776	9.38%	1 (x18)
2.2796	15.62%	1 (x18)
2.3183	6.25%	1 (x16)
2.2994	9.38%	1 (x17)
2.2798	12.50%	1 (x18)
2.3063	12.50%	1 (x16)
2.3614	9.38%	1 (x16)
2.3196	9.38%	1 (x10)
2.3457	9.38%	1 (x12)
2.2624	15.62%	1 (x15)
